,Formula,Name,E,xyz_idx
0,AlCl3,Aluminum trichloride,1310.70,[67]
1,AlF3,Aluminum trifluoride,1807.99,[41]
2,BCl3,Boron trichloride,1359.87,[61]
3,BF3,Boron trifluoride,1972.30,[133]
4,BeH,Beryllium monohydride,212.50,[14]
5,CCl4,Tetrachloromethane,1318.96,[36]
6,CF4,Tetrafluoromethane,2005.71,[9]
7,CH,Methylidyne radical,351.60,[108]
8,CH2Cl2,Dichloromethane,1554.42,[146]
9,CH2F2,Difluoromethane,1832.86,[62]
10,CH2O2,Formic acid,2100.94,[53]
11,CH2O,Formaldehyde,1567.43,[42]
12,CH2,Singlet carbene,757.45,"[105, 106]"
13,CH2,Triplet carbene,797.23,"[105, 106]"
14,CH3Cl,Chloromethane,1656.17,[64]
15,CH3,Methyl radical,1287.21,[116]
16,CH3O,Hydroxymethyl radical,1715.47,"[37, 68]"
17,CH3O,Methoxy radical,1674.66,"[37, 68]"
18,CH3S,Methylthio radical,1601.03,[38]
19,CH4,Methane,1757.82,[10]
20,CH4O,Methanol,2147.84,[124]
21,CH4S,Thiomethanol,1987.63,[65]
22,CHCl3,Trichloromethane,1444.48,[66]
23,CHF3,Trifluoromethane,1924.71,[39]
24,CHO,Formyl radical,1169.59,[19]
25,CN,Cyano radical,758.56,[141]
26,CNH,Hydrogen cyanide,1310.97,[18]
27,CNH3O2,Methyl nitrite,2507.94,"[96, 137]"
28,CNH3O2,Nitromethane,2518.40,"[96, 137]"
29,CNH5,Methylamine,2434.89,[87]
30,C2Cl4,Tetrachloroethylene,1976.57,[134]
31,C2F4,Tetrafluoroethylene,2470.91,[123]
32,C2H,Ethynyl radical,1112.08,[8]
33,C2H2,Acetylene,1695.79,[101]
34,C2H2O2,Glyoxal,2657.71,[139]
35,C2H2O,Ketene,2232.05,[77]
36,C2H3Cl,Vinyl chloride,2276.50,[143]
37,C2H3,Vinyl radical,1864.92,[34]
38,C2H3F,Vinyl fluoride,2400.61,[102]
39,C2H3O,Carbonyl methane,2436.67,[63]
40,C2H3OCl,Acetyl chloride,2798.87,[140]
41,C2H3OF,Acetyl fluoride,2957.91,[100]
42,C2H4,Ethylene,2358.75,[54]
43,C2H4O2,Acetic acid,3363.76,"[79, 85]"
44,C2H4O2,Methyl formate,3292.61,"[79, 85]"
45,C2H4O,Acetaldehyde,2835.43,"[81, 82]"
46,C2H4O,Oxirane,2725.51,"[81, 82]"
47,C2H4S,Thiirane,2620.57,[95]
48,C2H5Cl,Ethyl chloride,2897.60,[104]
49,C2H5,Ethyl radical,2526.01,[35]
50,C2H5O,Ethoxy radical,2919.13,[126]
51,C2H6,Ethane,2981.64,[59]
52,C2H6O,Dimethyl ether,3341.56,"[119, 147]"
53,C2H6O,Ethanol,3392.98,"[119, 147]"
54,C2H6OS,Dimethyl sulfoxide,3587.65,[57]
55,C2H6S,Dimethyl sulfide,3217.58,"[73, 127]"
56,C2H6S,Thioethanol,3222.30,"[73, 127]"
57,C2N2,Cyanogen,2100.20,[103]
58,C2NF3,Trifluoroacetonitril,2688.27,[60]
59,C2NH3,Acetonitrile,2578.87,[145]
60,C2NH5,Aziridine,3012.94,[128]
61,C2NH5O,Acetamide,3633.73,[98]
62,C2NH7,Dimethylamine,3640.55,"[120, 142]"
63,C2NH7,Ethylamine,3674.87,"[120, 142]"
64,C3H4,Allene,2944.45,"[33, 91, 112]"
65,C3H4,Cyclopropene,2852.25,"[33, 91, 112]"
66,C3H4,Propyne,2950.5,"[33, 91, 112]"
67,C3H6,Cyclopropane,3571.3,"[90, 111]"
68,C3H6O,Acetone,4097.39,[138]
69,C3H6,Propene,3602.67,"[90, 111]"
70,C3H7Cl,1-Chloropropane,4130.72,[51]
71,C3H7,Isopropyl radical,3769.88,[97]
72,C3H8O,Methoxyethane,4587.12,"[70, 131]"
73,C3H8O,Isopropyl alcohol,4641.05,"[70, 131]"
74,C3H8,Propane,4214.27,[89]
75,C3NH3,Acrylonitrile,3191.46,[130]
76,C3NH9,Trimethylamine,4857.95,[118]
77,C4H10,Isobutane,5453.18,"[78, 135]"
78,C4H10,n-Butane,5447.22,"[78, 135]"
79,C4H4O,Furan,4164.49,[69]
80,C4H4S,Thiophene,4038.49,[132]
81,C4H6,"1,3-Butadiene",4237.73,"[56, 86, 92, 125, 129]"
82,C4H6,2-Butyne,4201.18,"[56, 86, 92, 125, 129]"
83,C4H6,Bicyclo[1.1.0]butane,4125.62,"[56, 86, 92, 125, 129]"
84,C4H6,Cyclobutene,4189.71,"[56, 86, 92, 125, 129]"
85,C4H6,Methylenecyclopropane,4154.81,"[56, 86, 92, 125, 129]"
86,C4H8,Cyclobutane,4811.19,"[55, 136]"
87,C4H8,Isobutene,4849.73,"[55, 136]"
88,C4H9,tert-Butyl radical,5016.63,[76]
89,C4NH5,Pyrrole,4488.94,[99]
90,C5H8,Spiropentane,5376.77,[32]
91,C5NH5,Pyridine,5183.94,[109]
92,C6H6,Benzene,5727.81,[71]
93,Cl2,Dichlorine,248.22,[17]
